"user_name","movie_title","rating"
"Alex","Oppenheimer",5
"Alex","Barbie",4
"Alex","Dune: Part Two",5
"Alex","Deadpool & Wolverine",4
"Michael","Oppenheimer",5
"Michael","Dune: Part Two",4
"Michael","Inside Out 2",3
"Michael","The Batman",5
"Sam","Barbie",5
"Sam","Dune: Part Two",4
"Sam","Deadpool & Wolverine",5
"David","Oppenheimer",4
"David","Barbie",3
"David","Inside Out 2",5
"David","The Batman",4
"Chris","Barbie",4
"Chris","Dune: Part Two",5
"Chris","Inside Out 2",4
"Chris","Deadpool & Wolverine",3
